citation_key,authors_year,short_description_what_it_says,critique_or_limitation,evaluation_for_this_thesis,evidence_role,safe_thesis_use,do_not_use_for,accessibility_status,peer_reviewed_yes_no_unknown,metadata_verification_status,unknown_or_inaccessible_flag,evaluation_basis,doi_or_url
gilchrist2012credit,"Gilchrist, Simon and Zakrajsek, Egon (2012)",Shows credit spreads contain business-cycle information.,"Macro-finance source, not firm SEC accounting by itself.",Useful for market-shift context; do not use to claim macro variables caused individual firm outcomes.,core_or_supporting_literature,Supports credit-spread and financial-conditions variables.,Do not use to claim macro variables dominate without empirical support.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1257/aer.102.4.1692
longstaff2005corporate,"Longstaff, Francis A. and Mithal, Sanjay and Neis, Eric (2005)",Shows corporate spreads reflect both default and liquidity components.,"Market spread decomposition, not accounting-panel construction.",Useful for market-shift context; do not use to claim macro variables caused individual firm outcomes.,core_or_supporting_literature,Supports caution in interpreting macro/credit variables.,Do not use to claim macro variables dominate without empirical support.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1111/j.1540-6261.2005.00797.x
bernanke1999financial,"Bernanke, Ben S. and Gertler, Mark and Gilchrist, Simon (1999)",Explains how credit frictions can amplify business-cycle shocks.,"Macro theory, not a firm-level empirical model.",Useful for market-shift context; do not use to claim macro variables caused individual firm outcomes.,core_or_supporting_literature,Theoretical support for macro-regime framing.,Do not use to claim macro variables dominate without empirical support.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,unknown,verified_doi,full_text_access_unknown_or_access_limited; peer_review_status_unknown_or_not_applicable,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1016/S1574-0048(99)10034-X
hevner2004design,"Hevner, Alan R. and March, Salvatore T. and Park, Jinsoo and Ram, Sudha (2004)",Frames IT artifacts as legitimate research outputs when designed and evaluated rigorously.,"General IS methodology, not financial distress-specific.",Useful for artifact framing and dashboard justification; not evidence of model accuracy.,artifact_methodology,Justifies dashboard/panel/model package as an artifact.,Do not cite outside the stated data scope or method scope.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.2307/25148625
peffers2007design,"Peffers, Ken and Tuunanen, Tuure and Rothenberger, Marcus A. and Chatterjee, Samir (2007)","Provides a process model for problem identification, artifact design, demonstration, evaluation, and communication.","Methodology source, not dashboard evaluation evidence by itself.",Useful for artifact framing and dashboard justification; not evidence of model accuracy.,artifact_methodology,Structure artifact chapter.,Do not cite outside the stated data scope or method scope.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.2753/MIS0742-1222240302
chen2012business,"Chen, Hsinchun and Chiang, Roger H. L. and Storey, Veda C. (2012)",Frames analytics as a business-impact and decision-support discipline.,"Broad analytics source, not a distress model paper.",Useful for artifact framing and dashboard justification; not evidence of model accuracy.,artifact_methodology,Positions thesis under business analytics/big data.,Do not cite outside the stated data scope or method scope.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.2307/41703503
shneiderman1996eyes,"Shneiderman, Ben (1996)","Supports overview, zoom/filter, and details-on-demand logic.","Visualization principle, not financial content.",Useful for artifact framing and dashboard justification; not evidence of model accuracy.,artifact_methodology,Justifies dashboard layout and filters.,Do not cite outside the stated data scope or method scope.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1109/VL.1996.545307
arnott2014decision,"Arnott, David and Pervan, Graham (2014)",Links decision support systems research with design science approaches.,"Methodological source, not empirical distress evidence.",Useful for artifact framing and dashboard justification; not evidence of model accuracy.,artifact_methodology,Supports dashboard as a decision-support system.,Do not cite outside the stated data scope or method scope.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1057/jit.2014.16
barney1991firm,"Barney, Jay (1991)",Frames persistent firm differences and resource advantages.,Does not directly measure SEC ratios or failure targets.,Useful for framing success/adaptation/resilience; not directly measured unless translated into financial proxies.,theoretical_framing,High-level success/resilience framing only.,Do not use as direct proof of measured financial resilience.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1177/014920639101700108
teece1997dynamic,"Teece, David J. and Pisano, Gary and Shuen, Amy (1997)",Explains adaptation and capability renewal under changing environments.,"The thesis measures financial signals, not capabilities directly.",Useful for framing success/adaptation/resilience; not directly measured unless translated into financial proxies.,theoretical_framing,Frames market shifts and adaptation without overclaiming unobserved capabilities.,Do not use as direct proof of measured financial resilience.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1002/(SICI)1097-0266(199708)18:7%3C509::AID-SMJ882%3E3.0.CO;2-Z
hannan1984structural,"Hannan, Michael T. and Freeman, John (1984)",Explains why organizations may have difficulty adapting under environmental shifts.,"Sociological theory, not financial ratio modeling.",Useful for framing success/adaptation/resilience; not directly measured unless translated into financial proxies.,theoretical_framing,Frames failure under market shifts conceptually.,Do not use as direct proof of measured financial resilience.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.2307/2095567
duchek2020resilience,"Duchek, Stephanie (2020)","Conceptualizes resilience as capabilities for anticipation, coping, and adaptation.",Does not provide financial-target definitions for public firms.,Useful for framing success/adaptation/resilience; not directly measured unless translated into financial proxies.,theoretical_framing,Supports naming the success target as resilience with caveats.,Do not use as direct proof of measured financial resilience.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1007/s40685-019-0085-7
hepfer2022organizational,"Hepfer, Martin and Lawrence, Thomas B. (2022)",Differentiates forms of resilience rather than treating resilience as one simple outcome.,Not a financial prediction model.,Useful for framing success/adaptation/resilience; not directly measured unless translated into financial proxies.,theoretical_framing,Supports careful wording around success/resilience target.,Do not use as direct proof of measured financial resilience.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1177/26317877221074701
linnenluecke2017resilience,"Linnenluecke, Martina K. (2017)",Reviews resilience concepts in business and management literature.,Broad review; not a direct measurement recipe for SEC data.,Useful for framing success/adaptation/resilience; not directly measured unless translated into financial proxies.,theoretical_framing,Literature anchor for resilience framing.,Do not use as direct proof of measured financial resilience.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1111/ijmr.12076
charalambakis2015developed_emerging,"Charalambakis, Evangelos and Garrett, Ian (2015)",Compares financial distress prediction in a developed market and an emerging market using accounting and market information.,"Useful cross-country evidence, but not direct evidence for Russian firms or for the current U.S. production panel.","High-value contextual source for cross-market predictor instability; use to motivate scope and caution, not as implemented evidence.",contextual_extension_literature,Use as a precedent that predictor sets can behave differently across market institutions.,"Do not use to claim the thesis empirically tests India, emerging markets generally, or Russia.",metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi_and_university_metadata,full_text_access_unknown_or_access_limited,"verified DOI, University of Manchester metadata page, abstract-level source summary",https://doi.org/10.1007/s11156-014-0492-y
hunter2001failure_risk_russia,"Hunter, John and Isachenkova, Natalia (2001)",Compares company failure risk in UK and Russian firms using accounting ratios and logit modeling.,"Strong Russia-specific fit, but historical and transition-period conditions limit direct generalization to current Russian public companies or the implemented U.S. panel.","High-priority Russia-specific bridge source; use in literature gap/future extension, not as current empirical evidence.",contextual_extension_literature,Use to argue that Russian failure-risk modeling has distinct institutional and accounting-context issues.,Do not cite as evidence that the current thesis estimates Russian firm failure unless a Russian dataset is added.,publisher_page_access_limited; public_working_paper_page_available,yes,verified_doi_and_public_working_paper_page,full_text_access_unknown_or_access_limited_for_journal_version,"verified DOI, ScienceDirect abstract page, Brunel working-paper repository summary",https://doi.org/10.1016/S0161-8938(01)00064-3
afanasev2023default_emerging,"Afanasev, Vladislav (2023)",Compares default-prediction model performance for Russian service firms versus a European control group using several ML/statistical methods.,"Closest recent Russia-specific empirical match, but sector-specific and not macro-regime-aware.",Very useful addition for a Russia-context subsection or future-extension argument.,contextual_extension_literature,Use to support the idea that Russian firm default prediction may need richer context than financial ratios alone.,Do not generalize its service-sector results to all Russian industries without caveats.,journal_page_accessible,yes,verified_doi_and_journal_page,none_flagged,verified DOI and journal abstract page,https://doi.org/10.17323/j.jcfr.2073-0438.17.1.2023.64-77
fedorova2020external_factors_russia,"Fedorova, Elena A.; Musienko, Svetlana O.; Fedorov, Fedor Yu. (2020)",Analyzes whether external macroeconomic variables improve bankruptcy prediction for Russian companies across several sectors.,"Highly relevant to macro context, but it is not a U.S. SEC/FRED panel study and should not be used as proof for the current model results.",High-priority Russian macro-bankruptcy source; use carefully as contextual support.,contextual_extension_literature,Use to justify why macro and market-shift variables are plausible in Russian bankruptcy-prediction research.,Do not cite as validation of the exact FRED variables or U.S. model outputs.,public_full_text_or_article_page_accessible,yes,verified_doi_and_public_full_text_summary,none_flagged,verified DOI and public CyberLeninka abstract/full-text page,https://doi.org/10.21638/spbu05.2020.106
nevredinov2021instrumental_ml,"Nevredinov, Aleksandr R. (2021)","Discusses machine-learning instruments for corporate bankruptcy prediction, with attention to data sources and inputs.",Useful context but not a core anchor; should be subordinate to stronger peer-reviewed empirical sources.,Medium-priority addition for a local Russian ML literature paragraph.,supplementary_context_literature,Use to show Russian applied-finance interest in ML bankruptcy forecasting.,Do not use as the main evidence that ML outperforms alternatives in this thesis.,publisher_page_accessible,unknown,verified_doi_and_publisher_page,peer_review_status_unknown_or_needs_manual_check,verified DOI and publisher abstract page,https://doi.org/10.24891/fc.27.9.2118
gornostaev2022realtime_russia,"Gornostaev, Dmitry; Ponomarenko, Alexey; Seleznev, Sergei; Sterkhova, Aleksandra (2022)",Describes a Bank of Russia real-time historical database of macroeconomic indicators and the importance of data vintages.,"Important for macro timing, but not evidence that macro variables predict firm failure by themselves.",Useful official/data-method source for Russian macro context and prediction-date philosophy.,official_data_and_method_context,Use to support careful macro-data timing and Russian macro-data availability.,Do not cite as firm-level bankruptcy evidence.,open_access_article_page_accessible,yes,verified_doi_and_open_access_page,none_flagged,"verified DOI, Bank of Russia/RJMF pages, source summary",https://doi.org/10.31477/rjmf.202201.88
davydov2022us_russian_markets,"Davydov, A. Yu. (2022)",Compares U.S. and Russian financial markets at the market-structure/context level.,Not a corporate bankruptcy paper; weak if used as direct distress-prediction evidence.,Optional background source; keep out of the main predictive-evidence chain unless space permits.,background_context_literature,Use for general cross-market context only.,Do not use to claim Russian macro variables improve firm-level failure prediction.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi_crossref,full_text_access_unknown_or_access_limited,verified DOI and Crossref metadata,https://doi.org/10.1134/S1019331622210080
cbr2026financial_stability,Bank of Russia (2026),"Official Bank of Russia source for financial-stability monitoring, stress testing, and macroprudential context.",Not an academic paper; use as data/context documentation only.,"Useful official context source, not a literature-theory anchor.",official_data_and_context_documentation,Use to cite Russian financial-stability context and potential macro-regime source material.,Do not treat as peer-reviewed evidence for firm-level failure prediction.,official_public_page_accessible,not_applicable,verified_official_page,peer_review_status_unknown_or_not_applicable,official Bank of Russia page,https://www.cbr.ru/eng/finstab/
