citation_key,authors,year,title,publication,source_type,peer_reviewed_yes_no_unknown,language,bucket,main_method_or_theory,data_scope,main_contribution,main_limitation_or_critique,how_this_thesis_uses_it,supports_claim,doi_or_url,verification_status
bernanke1999financial,"Bernanke, Ben S. and Gertler, Mark and Gilchrist, Simon",1999,The Financial Accelerator in a Quantitative Business Cycle Framework,Handbook of Macroeconomics,book_chapter,unknown,English,"Macroeconomic conditions, credit cycles, and market-shift/default context",financial accelerator theory,macroeconomic credit frictions,Explains how credit frictions can amplify business-cycle shocks.,"Macro theory, not a firm-level empirical model.",Theoretical support for macro-regime framing.,Macro-financial regimes can affect firms through credit and demand channels.,https://doi.org/10.1016/S1574-0048(99)10034-X,verified_doi
hevner2004design,"Hevner, Alan R. and March, Salvatore T. and Park, Jinsoo and Ram, Sudha",2004,Design Science in Information Systems Research,MIS Quarterly,academic_journal_article,yes,English,"Design science, dashboard, and decision-support artifact framing",design science research guidelines,information systems research artifacts,Frames IT artifacts as legitimate research outputs when designed and evaluated rigorously.,"General IS methodology, not financial distress-specific.",Justifies dashboard/panel/model package as an artifact.,The dashboard is defensible as a design-science artifact when connected to data and evaluation.,https://doi.org/10.2307/25148625,verified_doi
peffers2007design,"Peffers, Ken and Tuunanen, Tuure and Rothenberger, Marcus A. and Chatterjee, Samir",2007,A Design Science Research Methodology for Information Systems Research,Journal of Management Information Systems,academic_journal_article,yes,English,"Design science, dashboard, and decision-support artifact framing",design science research methodology,information systems artifact research,"Provides a process model for problem identification, artifact design, demonstration, evaluation, and communication.","Methodology source, not dashboard evaluation evidence by itself.",Structure artifact chapter.,"The dashboard should be presented as a designed and demonstrated artifact, not decoration.",https://doi.org/10.2753/MIS0742-1222240302,verified_doi
chen2012business,"Chen, Hsinchun and Chiang, Roger H. L. and Storey, Veda C.",2012,Business Intelligence and Analytics: From Big Data to Big Impact,MIS Quarterly,academic_journal_article,yes,English,"Design science, dashboard, and decision-support artifact framing",business intelligence and analytics review,business analytics and big data,Frames analytics as a business-impact and decision-support discipline.,"Broad analytics source, not a distress model paper.",Positions thesis under business analytics/big data.,The project belongs to business analytics because it translates data/model outputs into decision support.,https://doi.org/10.2307/41703503,verified_doi
shneiderman1996eyes,"Shneiderman, Ben",1996,The Eyes Have It: A Task by Data Type Taxonomy for Information Visualizations,Proceedings of the IEEE Symposium on Visual Languages,peer_reviewed_conference_paper,yes,English,"Design science, dashboard, and decision-support artifact framing",information visualization task taxonomy,visual analytics interaction,"Supports overview, zoom/filter, and details-on-demand logic.","Visualization principle, not financial content.",Justifies dashboard layout and filters.,Interactive filtering and drill-down are not cosmetic; they support analytical workflow.,https://doi.org/10.1109/VL.1996.545307,verified_doi
arnott2014decision,"Arnott, David and Pervan, Graham",2014,A Critical Analysis of Decision Support Systems Research Revisited: The Rise of Design Science,Journal of Information Technology,academic_journal_article,yes,English,"Design science, dashboard, and decision-support artifact framing",decision-support systems research review,DSS and design science,Links decision support systems research with design science approaches.,"Methodological source, not empirical distress evidence.",Supports dashboard as a decision-support system.,"The artifact should be evaluated by usefulness and transparency, not only model metrics.",https://doi.org/10.1057/jit.2014.16,verified_doi
barney1991firm,"Barney, Jay",1991,Firm Resources and Sustained Competitive Advantage,Journal of Management,academic_journal_article,yes,English,Strategic management and resilience framing,resource-based view,strategic management theory,Frames persistent firm differences and resource advantages.,Does not directly measure SEC ratios or failure targets.,High-level success/resilience framing only.,Firm-level heterogeneity matters for success and resilience.,https://doi.org/10.1177/014920639101700108,verified_doi
teece1997dynamic,"Teece, David J. and Pisano, Gary and Shuen, Amy",1997,Dynamic Capabilities and Strategic Management,Strategic Management Journal,academic_journal_article,yes,English,Strategic management and resilience framing,dynamic capabilities theory,strategic management under change,Explains adaptation and capability renewal under changing environments.,"The thesis measures financial signals, not capabilities directly.",Frames market shifts and adaptation without overclaiming unobserved capabilities.,"Adaptation is relevant to the title, but empirical measurement is through observable financial resilience.",https://doi.org/10.1002/(SICI)1097-0266(199708)18:7%3C509::AID-SMJ882%3E3.0.CO;2-Z,verified_doi
hannan1984structural,"Hannan, Michael T. and Freeman, John",1984,Structural Inertia and Organizational Change,American Sociological Review,academic_journal_article,yes,English,Strategic management and resilience framing,organizational ecology,organizational change and survival,Explains why organizations may have difficulty adapting under environmental shifts.,"Sociological theory, not financial ratio modeling.",Frames failure under market shifts conceptually.,"Failure and survival are linked to adaptation constraints, but the thesis measures only financial outcomes.",https://doi.org/10.2307/2095567,verified_doi
duchek2020resilience,"Duchek, Stephanie",2020,Organizational Resilience: A Capability-Based Conceptualization,Business Research,academic_journal_article,yes,English,Strategic management and resilience framing,conceptual resilience framework,organizational resilience,"Conceptualizes resilience as capabilities for anticipation, coping, and adaptation.",Does not provide financial-target definitions for public firms.,Supports naming the success target as resilience with caveats.,"Resilience is conceptually broader than profitability, so the thesis must define a measurable financial proxy.",https://doi.org/10.1007/s40685-019-0085-7,verified_doi
hepfer2022organizational,"Hepfer, Martin and Lawrence, Thomas B.",2022,"The Heterogeneity of Organizational Resilience: Exploring Functional, Operational and Strategic Resilience",Organization Theory,academic_journal_article,yes,English,Strategic management and resilience framing,organizational resilience theory,organizational resilience heterogeneity,Differentiates forms of resilience rather than treating resilience as one simple outcome.,Not a financial prediction model.,Supports careful wording around success/resilience target.,"The thesis uses financial resilience as a proxy, not a complete measure of organizational resilience.",https://doi.org/10.1177/26317877221074701,verified_doi
linnenluecke2017resilience,"Linnenluecke, Martina K.",2017,Resilience in Business and Management Research: A Review of Influential Publications and a Research Agenda,International Journal of Management Reviews,academic_journal_article,yes,English,Strategic management and resilience framing,resilience literature review,business and management resilience research,Reviews resilience concepts in business and management literature.,Broad review; not a direct measurement recipe for SEC data.,Literature anchor for resilience framing.,"Resilience is a recognized management construct, but operationalization must be explicit.",https://doi.org/10.1111/ijmr.12076,verified_doi
charalambakis2015developed_emerging,"Charalambakis, Evangelos and Garrett, Ian",2015,On the Prediction of Financial Distress in Developed and Emerging Markets: Does the Choice of Accounting and Market Information Matter? A Comparison of UK and Indian Firms,Review of Quantitative Finance and Accounting,academic_journal_article,yes,English,Emerging-market and Russia-specific distress prediction context,hazard model; accounting and market predictor comparison,UK and Indian firms; developed versus emerging market comparison,"Shows that the predictive value of accounting and market variables can differ across institutional settings: market variables help in the UK case, while accounting ratios dominate in India.","Compares the UK and India, not Russia or the implemented U.S. SEC/FRED panel; it uses a different model family and does not build a dashboard or target hierarchy.",Supports the literature-review claim that distress predictors are not perfectly portable across institutional settings and that market-context variables need careful empirical validation.,Institutional context can change the usefulness of accounting versus market information in distress prediction.,https://doi.org/10.1007/s11156-014-0492-y,verified_doi_and_university_metadata
hunter2001failure_risk_russia,"Hunter, John and Isachenkova, Natalia",2001,Failure Risk: A Comparative Study of UK and Russian Firms,Journal of Policy Modeling,academic_journal_article,yes,English,Emerging-market and Russia-specific distress prediction context,logit failure-risk model; bootstrap validation; UK-Russia comparison,Russian industrial firms from the transition period and a comparable UK recession-period sample,"Provides direct Russia-specific comparative evidence that failure predictors differ between Russian and UK firms, with profitability more dominant in Russia while gearing and liquidity are more prominent in the UK context.","Older transition-economy period, small Russian sample, narrow historical context, and different data environment from the current U.S. SEC/FRED panel.",Supports the contextual claim that Russian firm-failure prediction may require different predictor interpretation and should not simply import Western predictor assumptions.,Russian corporate failure predictors may differ from developed-market predictors; cross-country transferability is limited.,https://doi.org/10.1016/S0161-8938(01)00064-3,verified_doi_and_public_working_paper_page
afanasev2023default_emerging,"Afanasev, Vladislav",2023,Default Prediction Model for Emerging Capital Market Service Companies,Journal of Corporate Finance Research,academic_journal_article,yes,English,Emerging-market and Russia-specific distress prediction context,"logistic regression, random forest, and k-nearest neighbors",404 Russian service firms and 304 developed European service-firm controls,"Tests whether financial-data-only default prediction is less accurate for Russian service companies than for developed European controls, finding higher prediction error for Russian firms and suggesting financial ratios alone may be insufficient.",Service-sector only; financial-ratio-only design; not a broad cross-industry macro-regime panel; not the same target hierarchy as this thesis.,Supports a Russia-specific literature paragraph explaining why contextual variables and careful scope limits matter in emerging capital-market settings.,"Russian default prediction is feasible but may behave differently from developed-market prediction, especially if only financial ratios are used.",https://doi.org/10.17323/j.jcfr.2073-0438.17.1.2023.64-77,verified_doi_and_journal_page
fedorova2020external_factors_russia,"Fedorova, Elena A.; Musienko, Svetlana O.; Fedorov, Fedor Yu.",2020,Analysis of the External Factors Influence on the Forecasting of Bankruptcy of Russian Companies,St Petersburg University Journal of Economic Studies,academic_journal_article,yes,Russian,Emerging-market and Russia-specific distress prediction context,binary-choice bankruptcy prediction models with internal and external factor blocks,"Russian construction, manufacturing, and trading companies; sector-specific bankruptcy samples","Shows that adding external macroeconomic factors such as GDP growth, key rate, exchange rates, CPI, MICEX growth, and unemployment can improve bankruptcy-prediction explanatory capacity for Russian companies relative to internal factors alone.","Russian-language source; sector samples and modeling details differ from the current U.S. SEC/FRED design; supports external-factor relevance, not the exact market-health index.",Supports the market-shift/macro-context logic in a Russia-specific setting and helps justify future Russian macro-regime variables.,External macro factors can matter for Russian bankruptcy prediction and may improve models beyond internal company variables.,https://doi.org/10.21638/spbu05.2020.106,verified_doi_and_public_full_text_summary
nevredinov2021instrumental_ml,"Nevredinov, Aleksandr R.",2021,The Instrumental Machine Learning Methods for Corporate Bankruptcy Prediction,Finance and Credit,academic_journal_article,unknown,English/Russian metadata; likely Russian article,Emerging-market and Russia-specific distress prediction context,machine-learning method development and data-source review for bankruptcy prediction,Russian corporate bankruptcy-prediction context,"Shows that Russian bankruptcy prediction has an active machine-learning methodological stream and discusses data sources, model potential, and input selection for company analysis.",Less central than empirical cross-country/Russian sector papers; methodological/applied framing may be weaker for theory; peer-review status should be checked before heavy reliance.,Use as a secondary local-context source showing that ML-based bankruptcy prediction is recognized in Russian applied finance literature.,"Russian bankruptcy-prediction research includes ML methods, so novelty should not be framed as simply using ML.",https://doi.org/10.24891/fc.27.9.2118,verified_doi_and_publisher_page
gornostaev2022realtime_russia,"Gornostaev, Dmitry; Ponomarenko, Alexey; Seleznev, Sergei; Sterkhova, Aleksandra",2022,A Real-Time Historical Database of Macroeconomic Indicators for Russia,Russian Journal of Money and Finance,academic_journal_article,yes,English,Official data sources and empirical context,real-time macroeconomic vintage database construction,Russian short-term macroeconomic indicators and data revisions,"Documents a Russian macroeconomic vintage database and shows that revisions can be substantial, supporting the importance of using information available at the time rather than revised data.","Macro-data infrastructure source, not a firm-level distress model; relevant mainly if a Russian macro panel or future extension is discussed.",Supports timing/revision logic for any future Russian macro-regime extension and reinforces the general thesis emphasis on prediction-date validity.,Real-time macro-data availability matters when building historically valid predictive models.,https://doi.org/10.31477/rjmf.202201.88,verified_doi_and_open_access_page
davydov2022us_russian_markets,"Davydov, A. Yu.",2022,US and Russian Financial Markets: Comparative Analysis,Studies on Russian Economic Development,academic_journal_article,yes,English,"Macroeconomic conditions, credit cycles, and market-shift/default context",comparative financial-market analysis,U.S. and Russian financial markets,"Provides background evidence that Russian and U.S. financial markets differ structurally, supporting caution when transferring market-shift assumptions across countries.","Financial-market comparison, not firm-level distress prediction; should be background only.",Use as a secondary macro-financial context source if discussing why Russia and the U.S. should not be treated as interchangeable empirical environments.,Cross-country market structure differences can affect how market variables should be interpreted.,https://doi.org/10.1134/S1019331622210080,verified_doi_crossref
cbr2026financial_stability,Bank of Russia,2026,Financial Stability,Bank of Russia official financial stability portal,official_data_documentation,not_applicable,English,Official data sources and empirical context,official financial-stability monitoring and macroprudential context,"Russian financial stability reviews, macroprudential policy, stress testing, analytics, and related materials","Defines and documents the Bank of Russia financial-stability monitoring context, including shocks, vulnerabilities, resilience, and macroprudential/stress-testing materials.","Official context source, not peer-reviewed literature and not firm-level distress evidence.",Use only if discussing a possible Russian macro-stability extension or official Russian macro-financial context.,Russian official sources exist for constructing macro-financial regime context in a future Russian extension.,https://www.cbr.ru/eng/finstab/,verified_official_page
