column,dtype,feature_family,plain_english_meaning,source,can_use_in_current_models,metadata_or_audit_only,missing_share,missingness_caveat
global_event_monetary_inflation_count,int64,global_event_context,Count of active curated monetary inflation event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_monetary_inflation_severity,float64,global_event_context,Severity sum for active curated monetary inflation event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_natural_disaster_count,int64,global_event_context,Count of active curated natural disaster event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_natural_disaster_severity,float64,global_event_context,Severity sum for active curated natural disaster event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_pandemic_count,int64,global_event_context,Count of active curated pandemic event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_pandemic_severity,float64,global_event_context,Severity sum for active curated pandemic event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_political_policy_count,int64,global_event_context,Count of active curated political policy event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_political_policy_severity,float64,global_event_context,Severity sum for active curated political policy event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_sovereign_debt_count,int64,global_event_context,Count of active curated sovereign debt event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_sovereign_debt_severity,float64,global_event_context,Severity sum for active curated sovereign debt event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_supply_chain_count,int64,global_event_context,Count of active curated supply chain event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_supply_chain_severity,float64,global_event_context,Severity sum for active curated supply chain event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_trade_policy_count,int64,global_event_context,Count of active curated trade policy event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_trade_policy_severity,float64,global_event_context,Severity sum for active curated trade policy event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_names,object,global_event_context,Readable names of active curated global events attached to the prediction_date.,global event,no,no,0.2593527222257271,Schema missing share: 25.9%. Names can be null when no curated event name is active; numeric count/severity fields should be used for analysis.
event_year,float64,event_metadata,Year of a curated distress event for firms with event metadata.,target/audit metadata,no,yes,0.9494669106050092,Schema missing share: 94.9%. Event metadata is populated mainly for event-linked firms; missing means no documented event metadata on that row.
event_source_ticker,object,event_metadata,not documented / requires review,target/audit metadata,no,yes,0.9357769225916346,Schema missing share: 93.6%. Event metadata is populated mainly for event-linked firms; missing means no documented event metadata on that row.
event_date,datetime64[ns],event_metadata,Curated formal distress event date where available.,target/audit metadata,no,yes,0.9357769225916346,Schema missing share: 93.6%. Event metadata is populated mainly for event-linked firms; missing means no documented event metadata on that row.
event_type,object,event_metadata,Curated distress/near-distress event type.,target/audit metadata,no,yes,0.9357769225916346,Schema missing share: 93.6%. Event metadata is populated mainly for event-linked firms; missing means no documented event metadata on that row.
event_label,object,event_metadata,Readable event label for the curated event.,target/audit metadata,no,yes,0.9357769225916346,Schema missing share: 93.6%. Event metadata is populated mainly for event-linked firms; missing means no documented event metadata on that row.
verification_status,object,event_metadata,Manual/source verification status for the event-date row.,target/audit metadata,no,yes,0.9357769225916346,Schema missing share: 93.6%. Event metadata is populated mainly for event-linked firms; missing means no documented event metadata on that row.
formal_distress_firm,int64,event_metadata,Firm-level flag for a formal distress event in the event metadata.,target/audit metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
near_distress_firm,int64,event_metadata,Firm-level flag for near-distress or context cases not used as strict legal distress.,target/audit metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
days_from_period_to_event,float64,event_metadata,Days from accounting period end to the curated event date.,target/audit metadata,no,yes,0.9357769225916346,Schema missing share: 93.6%. Event metadata is populated mainly for event-linked firms; missing means no documented event metadata on that row.
days_to_event,float64,event_metadata,Days from prediction_date to the curated event date.,target/audit metadata,no,yes,0.9357769225916346,Schema missing share: 93.6%. Event metadata is populated mainly for event-linked firms; missing means no documented event metadata on that row.
post_event_flag,int64,event_metadata,Flag for rows on or after a formal event date; excluded from primary forward-looking model training.,target/audit metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
distress_next_2q,int64,target_label,Strict formal distress within the shorter forward horizon; exact day horizon is not documented / requires review.,target,no,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
distress_next_4q,int64,target_label,Strict formal distress event after prediction_date and within 456 days.,target,no,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
distress_next_8q,int64,target_label,Strict formal distress within the longer forward horizon; exact day horizon is not documented / requires review.,target,no,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
broad_distress_next_4q,int64,target_label,Earlier broad distress target retained as a secondary label; exact current rule is not documented / requires review.,target,no,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
healthy_current,int64,target_label,Current-period healthy-firm indicator; exact rule is not documented / requires review.,target,no,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
resilient_profitability,int64,target_label,Current or historical profitability/resilience indicator; exact rule is not documented / requires review.,target,no,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
failure_pressure_conservative_v2_next_4obs,float64,target_label,"Main production broader failure-pressure target: formal distress or repeated future profitability weakness with serious balance-stress, deterioration, or unhealthy-future signals.",target,no,no,0.0598384959939436,"Schema missing share: 6.0%. Null target labels mean unknown future outcome or insufficient future information, not automatic zero."
success_profitability_next_4q,float64,target_label,"Missing-aware forward profitability target with 29,977 known rows and 24,963 positives.",target,no,no,0.0548861270582297,"Schema missing share: 5.5%. Null target labels mean unknown future outcome or insufficient future information, not automatic zero."
success_resilience_next_4q,float64,target_label,"Main production success/resilience target requiring enough observed future net income, ROA, and leverage/assets components.",target,no,no,0.3643303261623872,"Schema missing share: 36.4%. Null target labels mean unknown future outcome or insufficient future information, not automatic zero."
success_quality_next_4q,float64,target_label,"Missing-aware future success-quality target with 20,161 known rows and 8,691 positives.",target,no,no,0.3643303261623872,"Schema missing share: 36.4%. Null target labels mean unknown future outcome or insufficient future information, not automatic zero."
industry_relative_resilience_next_4obs,Int64,target_label,not documented / requires review,target,no,no,0.3678947700460538,"Schema missing share: 36.8%. Null target labels mean unknown future outcome or insufficient future information, not automatic zero."
stress_resilience_next_4obs,Int64,target_label,not documented / requires review,target,no,no,0.8138603242697622,"Schema missing share: 81.4%. Null target labels mean unknown future outcome or insufficient future information, not automatic zero."
recovery_next_4obs,Int64,target_label,not documented / requires review,target,no,no,0.6411898302946186,"Schema missing share: 64.1%. Null target labels mean unknown future outcome or insufficient future information, not automatic zero."
quality_success_cashflow_next_4obs,Int64,target_label,not documented / requires review,target,no,no,0.4711059239164721,"Schema missing share: 47.1%. Null target labels mean unknown future outcome or insufficient future information, not automatic zero."
